date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-07-24,0.1216874649022815,225.11469448354265,4227.9958896446415,7821545.166869377,1.0,291789,207830,171434,1888.09622321,1899.5399685,1824.38750033,1849.94152573,480403.6179184899,1036300,144.95733669
2023-07-23,0.0988913864598216,187.18596120189537,2788.909238857117,5278969.941354963,1.0,280452,214165,156940,1866.55156586,1910.76068969,1852.91631496,1892.84393619,257158.63580851012,977305,136.72425853
2023-07-22,0.0913249453283461,170.5005586113124,2620.520862214472,4892423.086088441,1.0,284458,208639,165912,1891.29703687,1919.95201712,1850.39616018,1866.96589851,242207.730275075,1004374,140.45224444
2023-07-21,0.1043640706247693,197.1080724559182,3740.347904981586,7064239.267900647,1.0,328360,226757,193785,1877.44931892,1987.80326132,1807.87176271,1888.65834071,247178.5795469094,1110882,155.58571429
2023-07-20,0.1079352240700879,202.992148274578,3551.8119131241187,6679839.10464787,1.0,292874,203111,184737,1823.3210217,1929.61398314,1802.75016755,1880.68492027,474233.6993354095,1049510,146.90789474
2023-07-19,0.1176375189041005,222.1838950707935,3501.694663072687,6613707.657540368,1.0,328504,227847,198780,1829.71910262,1918.38517139,1800.45205214,1888.71626281,398611.0449421746,1093783,153.4272689
2023-07-18,0.0886289207111835,167.52161052935546,3783.5558616621374,7151473.42862143,1.0,349351,235144,218559,1910.39399789,1917.53516014,1808.03435729,1890.14611918,412509.65197152,1175963,164.97797419
2023-07-17,0.1024692535490124,195.16726333252785,3005.713156552187,5724808.084468743,1.0,272201,187553,171749,1921.50019331,1936.46035639,1807.46477009,1904.64218849,489815.4402178004,1036419,145.21773855
2023-07-16,0.0876499291721748,161.42739146881206,2276.1724111098683,4192092.090992677,1.0,271530,193797,159830,1930.77665637,1952.33844216,1832.73880539,1841.72871551,233109.92790328583,946750,133.28875123
2023-07-15,0.0716735445321988,137.1006712582028,1973.5040281078184,3775015.296791941,1.0,299767,217212,169485,1936.41007698,1959.31142363,1838.30603881,1912.84904567,220514.91010886163,950700,134.66005666
2023-07-14,0.0860577254143723,166.37784323104094,3162.919656845705,6114962.349808588,1.0,353650,249793,198257,2011.48210441,2106.76163106,1835.25928485,1933.32838429,828227.1113108231,1110332,156.20877884
2023-07-13,0.1043190721453821,200.90437372121417,4138.8981360815305,7970956.037324851,1.0,326551,228709,193662,1874.47713704,2078.89007345,1781.11965896,1925.86426997,997833.3602935412,1121269,157.83628941
2023-07-12,0.0900376162728364,164.5020748799274,3496.496257377681,6388228.75325339,1.0,296696,206917,182819,1964.64583178,1986.19097559,1750.05065108,1827.03720611,423486.0045323284,1041317,146.47868899
2023-07-11,0.0880533378041055,163.58276078451152,2915.8237299564494,5416926.917278413,1.0,340049,246272,186754,1888.12308034,1973.87458714,1786.49925379,1857.76899393,300126.4486204354,1091428,153.41973573
2023-07-10,0.0933235968287069,175.1105438031402,2917.992543743334,5475263.261512283,1.0,338143,249629,181682,1870.43290784,1981.10314644,1763.19410708,1876.38014129,414587.1594058402,1057858,148.93115585
2023-07-09,0.0899243326674979,159.99949111112602,2449.5099737810488,4358334.80939748,1.0,273766,198140,161638,1866.33997656,1964.88370458,1762.99270916,1779.26803975,211701.7451582133,954379,134.19277278
2023-07-08,0.0818171151547379,152.63571521150618,2585.623054516157,4823665.848484498,1.0,281292,201012,175190,1881.81066824,1956.19384776,1760.99725712,1865.57195182,208066.42506537915,1014086,142.56797413
2023-07-07,0.1107288980579535,203.96294442928604,4100.76580085921,7553622.241597717,1.0,262460,178295,169813,1855.4902211,1957.39924726,1773.01964914,1842.00283762,396924.590790549,1038341,145.79345689
2023-07-06,0.102750473059247,189.6669667015137,4923.066427443226,9087482.016990883,1.0,238720,162838,154085,1909.87428818,2032.81040507,1790.11825801,1845.89872002,724157.141124081,914280,128.46424055
2023-07-05,0.0803806505324394,153.51372953280426,5822.700406551353,11120393.396183502,1.0,230683,149020,150337,1941.75146037,2028.02731142,1818.00783382,1909.83437576,402847.3161647397,760586,106.61424166
2023-07-04,0.0717478500685583,138.9213451516299,3570.6140668879893,6913580.110281044,1.0,280665,189396,175294,1955.44435484,2054.08747219,1847.36868433,1936.24401315,336925.4536981276,931944,131.03824522
2023-07-03,0.0907401218576829,179.37448613995463,2797.930155765413,5530930.2398012,1.0,311559,221716,182172,1933.58787643,2044.53722151,1875.72853971,1976.79353375,536656.9449360336,1061564,149.26377953
2023-07-02,0.0682257427032711,137.33831534745048,2030.8305499290288,4088058.78004779,1.0,279809,195547,168446,1924.01326805,2027.93765848,1829.03931511,2012.99846518,465402.9694309447,925771,129.84165498
2023-07-01,0.0761279326553826,146.7556472209811,2349.489560746843,4529229.273664802,1.0,309555,220115,184932,1877.01595008,2019.16966303,1843.19244643,1927.75032898,289912.0699006269,1015838,142.8745429
2023-06-30,0.1013802356772495,196.91752639471565,3804.654030982981,7390030.764516948,1.0,343090,256153,196645,1851.72933399,2018.11587369,1809.66355815,1942.36603495,1169331.2954680163,1129184,158.50421112
2023-06-29,0.1187010459719585,220.375925828747,4241.032508798364,7873742.458992685,1.0,309548,204468,200229,1826.7181706,1934.50606482,1794.0597483,1856.56262777,376928.40505562455,1064346,149.23527762
2023-06-28,0.0858588864010332,157.03371681377587,2655.6516386019453,4857119.22030285,1.0,340094,242154,191457,1889.6046021,1936.78665226,1799.36788055,1828.9745348,537198.6865811846,1094481,153.20282755
2023-06-27,0.110164624714336,208.50555004684176,2674.968951801332,5062840.036897792,1.0,318834,227904,192124,1833.07534379,1965.06333375,1804.51819868,1892.67244896,533821.7292338721,1067370,150.39735099
2023-06-26,0.0612764339150534,113.92362397041028,1928.7801734121065,3585940.1919830507,1.0,303658,212926,183955,1896.82457712,1949.17607096,1808.95393514,1859.17516232,649769.7632963714,996984,140.32146376
2023-06-25,0.0493940132076612,94.5891434321826,1729.3576741682834,3311706.226415265,1.0,278039,197824,166273,1848.83108591,1994.8524121,1834.02737491,1914.99206664,505994.6162817648,934895,131.50865101
2023-06-24,0.0517040305767512,97.01047251808362,1926.6886355360375,3614978.810039165,1.0,286885,202752,172349,1893.20442264,1948.15081381,1813.51849135,1876.26518544,323108.6257176481,1004563,141.28874824
2023-06-23,0.083528478813069,158.3421407190529,2563.367890362327,4859290.687177547,1.0,285723,201193,176436,1871.63847489,1968.40286785,1820.93792041,1895.6665196,634979.0194360919,1054976,148.3583181
2023-06-22,0.0800993307554421,150.51747247248025,2346.2570305930203,4408934.190647458,1.0,308823,229961,176281,1866.7730001,1964.57191936,1835.28989366,1879.13520691,671700.3051592433,1052333,147.9242339
2023-06-21,0.0811491136033715,153.34527663259988,2801.7952145724344,5294476.343222241,1.0,342693,257390,185005,1792.81832972,1918.58853764,1784.74980216,1889.67284821,1058054.0387523507,1091714,153.0082691
